A10		Point
AB55	IF(AB15<$I$4,AB15*$I$43/$I$4,$I$43+(AB15-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB15/$E$6*(1-AB15/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0.29126391414728259
AB56	IF(AB16<$I$4,AB16*$I$43/$I$4,$I$43+(AB16-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB16/$E$6*(1-AB16/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0.42075723158196437
AB57	IF(AB17<$I$4,AB17*$I$43/$I$4,$I$43+(AB17-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB17/$E$6*(1-AB17/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0.5664532220427736
AB58	IF(AB18<$I$4,AB18*$I$43/$I$4,$I$43+(AB18-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB18/$E$6*(1-AB18/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0.71675188552970992
AB59	IF(AB19<$I$4,AB19*$I$43/$I$4,$I$43+(AB19-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB19/$E$6*(1-AB19/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0.84845322204277385
AB60	IF(AB20<$I$4,AB20*$I$43/$I$4,$I$43+(AB20-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB20/$E$6*(1-AB20/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0.99635723158196443
AB61	IF(AB21<$I$4,AB21*$I$43/$I$4,$I$43+(AB21-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB21/$E$6*(1-AB21/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	1.1604639141472826
AB62	IF(AB22<$I$4,AB22*$I$43/$I$4,$I$43+(AB22-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB22/$E$6*(1-AB22/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	1.3407732697387276
AB63	IF(AB23<$I$4,AB23*$I$43/$I$4,$I$43+(AB23-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB23/$E$6*(1-AB23/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	1.5372852983563001
AB64	IF(AB24<$I$4,AB24*$I$43/$I$4,$I$43+(AB24-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB24/$E$6*(1-AB24/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	1.75
AB65	IF(AB25<$I$4,AB25*$I$43/$I$4,$I$43+(AB25-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB25/$E$6*(1-AB25/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0
AB66	IF(AB26<$I$4,AB26*$I$43/$I$4,$I$43+(AB26-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB26/$E$6*(1-AB26/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0
AB67	IF(AB27<$I$4,AB27*$I$43/$I$4,$I$43+(AB27-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB27/$E$6*(1-AB27/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0
AB68	IF(AB28<$I$4,AB28*$I$43/$I$4,$I$43+(AB28-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB28/$E$6*(1-AB28/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0
AB69	IF(AB29<$I$4,AB29*$I$43/$I$4,$I$43+(AB29-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB29/$E$6*(1-AB29/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0
AB70	IF(AB30<$I$4,AB30*$I$43/$I$4,$I$43+(AB30-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB30/$E$6*(1-AB30/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0
AB71	IF(AB31<$I$4,AB31*$I$43/$I$4,$I$43+(AB31-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB31/$E$6*(1-AB31/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0
AB72	IF(AB32<$I$4,AB32*$I$43/$I$4,$I$43+(AB32-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB32/$E$6*(1-AB32/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0
AB73	IF(AB33<$I$4,AB33*$I$43/$I$4,$I$43+(AB33-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB33/$E$6*(1-AB33/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0
AB74	IF(AB34<$I$4,AB34*$I$43/$I$4,$I$43+(AB34-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB34/$E$6*(1-AB34/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0
AB75	IF(AB35<$I$4,AB35*$I$43/$I$4,$I$43+(AB35-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB35/$E$6*(1-AB35/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0
AB76	IF(AB36<$I$4,AB36*$I$43/$I$4,$I$43+(AB36-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB36/$E$6*(1-AB36/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0
AB77	IF(AB37<$I$4,AB37*$I$43/$I$4,$I$43+(AB37-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB37/$E$6*(1-AB37/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0
AB78	IF(AB38<$I$4,AB38*$I$43/$I$4,$I$43+(AB38-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB38/$E$6*(1-AB38/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0
AB79		27
AB8		
AB9		Number:
AC10	'Basis Hull'!AC11	21.0275
AC11		Y
AC12	'Basis Hull'!AC13	0.08
AC13	'Basis Hull'!AC14	0.09
AC14	'Basis Hull'!AC15	0.22
AC15	'Basis Hull'!AC16	0.98
AC16	'Basis Hull'!AC17	1.44
AC17	'Basis Hull'!AC18	1.71
AC18	'Basis Hull'!AC19	1.89
AC19	'Basis Hull'!AC20	2.02
AC20	'Basis Hull'!AC21	2.13
AC21	'Basis Hull'!AC22	2.1949999999999998
AC22	'Basis Hull'!AC23	2.2400000000000002
AC23	'Basis Hull'!AC24	2.25
AC24	'Basis Hull'!AC25	2.25
AC25	'Basis Hull'!AC26	0
AC26	'Basis Hull'!AC27	0
AC27	'Basis Hull'!AC28	0
AC28	'Basis Hull'!AC29	0
AC29	'Basis Hull'!AC30	0
AC30	'Basis Hull'!AC31	0
AC31	'Basis Hull'!AC32	0
AC32	'Basis Hull'!AC33	0
AC33	'Basis Hull'!AC34	0
AC34	'Basis Hull'!AC35	0
AC35	'Basis Hull'!AC36	0
AC36	'Basis Hull'!AC37	0
AC37	'Basis Hull'!AC38	0
AC38	'Basis Hull'!AC39	0
AC39		27
AC48		
AC49	AC9	8
